Freq,Mag,Phase,Coherence
5496.09375,-2.5881011,668.68414,4.359749e-06
5507.8125,0.38100845,654.0778,5.1404254e-06
5519.53125,2.0994587,654.02704,2.6969776e-06
5531.25,4.56872,691.86755,2.3647174e-06
5542.96875,2.105589,674.3322,4.415818e-06
5554.6875,2.956094,666.17786,3.835219e-06
5566.40625,-1.3281769,625.7765,3.2225678e-06
5578.125,-0.57830346,652.52234,2.361037e-06
5589.84375,1.0222503,740.8846,3.5859096e-06
5601.5625,-1.9522891,700.9763,8.15884e-06
5613.28125,2.2473996,707.3346,4.799155e-06
5625.0,1.3413305,688.3527,3.3619222e-06
5636.71875,0.3398661,718.71497,2.3760037e-06
5648.4375,2.3710124,689.2809,5.313853e-06
5660.15625,1.7536181,699.4233,2.4840394e-06
5671.875,3.0705142,687.07623,3.1806946e-06
5683.59375,1.5117939,684.2894,3.5660098e-06
5695.3125,-1.2119898,703.7307,3.867259e-06
5707.03125,4.5032387,722.3772,4.2586403e-06
5718.75,3.5845742,676.35455,3.579793e-06
5730.46875,-0.50929177,672.31525,3.2656023e-06
5742.1875,-0.74480647,633.938,2.750334e-06
5753.90625,-0.20149001,644.6422,3.8108697e-06
5765.625,5.703687,589.7926,4.746741e-06
5777.34375,3.450651,622.5719,5.7835728e-06
5789.0625,-0.03632775,632.2478,4.6669943e-06
5800.78125,-1.2915487,697.1345,2.9649893e-06
5812.5,-1.5190784,717.0435,2.9533057e-06
5824.21875,-2.118567,713.9186,2.0789184e-06
5835.9375,-1.5195836,671.01556,2.5380205e-06
5847.65625,-6.6814213,713.1338,2.2757933e-06
5859.375,-4.2436633,696.3726,4.2665647e-06
5871.09375,-3.6298256,693.4877,5.0400376e-06
5882.8125,-5.474859,707.8797,3.7673049e-06
5894.53125,-0.45399553,716.71875,5.664575e-06
5906.25,-0.83876276,694.0861,5.6666677e-06
5917.96875,-1.9952877,716.77106,5.0043413e-06
5929.6875,1.3104751,717.6823,2.8266822e-06
5941.40625,-2.28216,771.6083,4.7100207e-06
5953.125,-2.643042,783.577,3.8154876e-06
5964.84375,-4.767815,769.51025,4.4513968e-06
5976.5625,-3.7012634,735.3044,5.0542285e-06
5988.28125,0.040802002,734.874,2.8561417e-06
6000.0,-1.9932096,700.79834,3.6268261e-06
6011.71875,-2.1157763,689.10657,8.027266e-06
6023.4375,-1.789274,696.85455,4.6371156e-06
6035.15625,-0.16373205,671.619,3.0835579e-06
6046.875,-2.4899685,691.8209,6.8668255e-06
6058.59375,1.4991757,647.282,5.726506e-06
6070.3125,-0.9059794,630.328,5.2369974e-06
6082.03125,1.3215909,589.19336,5.680447e-06
6093.75,-6.08154,613.5602,4.3303958e-06
6105.46875,-3.2882013,586.24945,6.3542147e-06
6117.1875,-5.336381,601.5998,6.1927217e-06
6128.90625,4.697535,598.42725,6.1900664e-06
6140.625,1.2408191,627.2653,1.1101162e-05
6152.34375,-0.33598626,621.6224,9.6377e-06
6164.0625,-0.9360609,608.70105,3.440222e-06
6175.78125,1.9414821,600.7767,4.295124e-06
6187.5,1.6180766,623.5483,4.435474e-06
6199.21875,0.9379302,689.1603,2.840217e-06
6210.9375,2.6281562,700.746,3.1198738e-06
6222.65625,-6.5212965,690.1671,4.5201723e-06
6234.375,1.0242182,740.98303,3.9494257e-06
6246.09375,-1.0400716,763.06635,4.4238514e-06
6257.8125,3.3446734,759.9455,5.546061e-06
6269.53125,-0.57175785,722.37,3.1484215e-06
6281.25,3.9680953,744.3157,3.9501087e-06
